,name,ARI,AMI,CHS,DBS,CS,CM,PCM,FMS,HCVM,HS,MI,NMI,RI,SSc,VMS
0,V10S14-085_XY04_21-0057_GAE_scGNN_logcpm_PEalpha1.0_zdim3,0.19845673066490047,0.3027174250366199,3.028876940993113,11.752498150944277,0.24039178975885436,"[[  2   2   3   1]
 [ 56 134  27  84]
 [  7   0  77   0]
 [  7   0   7   0]]","[[58802  8930]
 [62946 34564]]",0.5307435722217454,"(0.43942197633733887, 0.24039178975885436, 0.31077168665677996)",0.43942197633733887,0.3260314897975686,0.31077168665678,0.5650258408879099,-0.0016170326,0.31077168665677996
0,V10S14-085_XY04_21-0057_GAE_scGNN_logcpm_PEalpha2.0_zdim3,0.2666414491778746,0.327945137903556,3.5119094647330527,9.752500010516762,0.2637772541552783,"[[  1   3   1   3]
 [ 26 163  79  33]
 [ 77   0   0   7]
 [  4   0   2   8]]","[[59844  7888]
 [57260 40250]]",0.5874856801000147,"(0.4624793595046792, 0.2637772541552783, 0.33594609194362274)",0.4624793595046792,0.3431390387816693,0.3359460919436228,0.6057418816039506,0.002538083,0.33594609194362274
0,V10S14-085_XY04_21-0057_GAE_scGNN_logcpm_PEalpha3.0_zdim3,0.13684430989321153,0.040178684807918294,1.4955020873828195,9.001619278353655,0.04940734205451221,"[[  7   1   0   0]
 [228  31   1  41]
 [ 45  19   0  20]
 [  3   4   0   7]]","[[37530 30202]
 [40380 57130]]",0.6190887936914524,"(0.0557260675756088, 0.04940734205451221, 0.052376820874496674)",0.0557260675756088,0.041346254421940926,0.052376820874496674,0.5728567797533315,-0.0017972852,0.052376820874496674
