x,y
155.3353417,316.66962175
123.74801145,334.82570065
428.5259324,281.1537832
460.0601747,275.2079328
130.75562085,334.82570065
393.43479745,305.3618884
470.51850085,281.31304705
316.5103579,280.7290796
211.44930485,292.5146045
383.02955925,274.8894051
337.48009815,280.8352555
438.9311706,299.46912595
470.359237,317.83755665
144.87701555,310.5645075
176.251994,341.09007875
333.9232055,299.0975103
456.39710615,317.7844687
232.4190451,304.77792095
127.35799205,316.56344585
445.88569205,311.67935445
274.3585256,317.09432535
186.869584,310.72377135
421.4121471,305.4680643
431.9235612,311.6262665
253.4418733,292.67386835
204.33551955,316.8288856
225.35834775,316.9350615
379.52575455,280.99451935
452.89330145,311.67935445
120.24420675,340.87772695
207.94550015,286.40949025
165.8467558,310.61759545
144.7177517,347.0890171
298.8851585,311.095387
193.93028135,298.5666308
435.48045385,293.3640117
498.3896746,317.94373255
330.5255767,280.78216755
330.36631285,317.30667715
498.54893845,281.41922295
474.02230555,287.4181613
372.51814515,280.9414314
239.4266545,292.6207804
309.34348465,317.2535892
365.4574478,293.09857195
211.34312895,316.88197355
190.3733887,304.6186571
428.57902035,268.99664265
382.8702954,311.4139147
148.3277323,316.66962175
480.92373905,311.78553035
484.42754375,305.73350405
323.46487935,292.9393081
431.9235612,299.416038
214.9000216,310.82994725
137.86940615,310.51141955
214.84693365,322.9870878
144.77083965,334.8787886
442.5411512,281.20687115
127.3049041,328.7205864
439.0373465,275.1017569
491.4882411,293.5763635
127.25181615,340.9308149
459.8478229,323.88958295
291.8775491,311.095387
221.85454305,310.82994725
372.4650572,293.1516599
137.7101423,347.03592915
449.4425847,305.5742402
368.90816455,311.36082675
211.3962169,304.724833
435.5335418,281.20687115
487.9844364,287.47124925
330.4194008,305.1495366
172.80127725,322.82782395
256.89259005,310.93612315
424.96903975,287.25889745
442.48806325,293.3640117
397.04477805,274.94249305
197.32791015,328.98602615
204.2824316,329.0391141
502.1058311,263.15696815
263.9532874,298.83207055
151.831537,322.72164805
218.4038263,304.724833
277.8623303,323.1994396
495.04513375,275.3141087
477.3668464,317.8906446
477.4730223,293.52327555
491.594417,269.20899445
134.25942555,340.9308149
495.0982217,263.15696815
263.8471115,323.14635165
162.39603905,304.5124812
305.9989438,286.7811059
442.38188735,317.73138075
351.38914105,305.20262455
141.3201229,328.77367435
295.43444175,304.99027275
442.5411512,269.0497306
386.42718805,305.3618884
460.00708675,287.36507335
277.9685062,286.67493
232.36595715,316.9350615
281.4723109,292.78004425
425.0221277,275.04866895
158.7329705,347.14210505
340.98390285,286.94036975
256.945678,298.7789826
134.2063376,353.1410434
502.05274315,275.36719665
207.94550015,298.61971875
120.1911188,353.08795545
288.3737444,317.1474133
386.53336395,280.99451935
