,name,ARI,AMI,CHS,DBS,CS,CM,PCM,FMS,HCVM,HS,MI,NMI,RI,SSc,VMS
0,kidney085_0057_scGNN_logcpm_PEalpha1.0_zdim3,0.188921572463583,0.248945343004056,3.97100942243438,9.92235329375127,0.201353647669035,"[[  2   3   1   4]
 [121 116  23  38]
 [  0   0  34  50]
 [  1   1   7   6]]","[[59702  9762]
 [62342 33436]]",0.519815965858233,"(0.3566795055013457, 0.20135364766903466, 0.2573994719613211)",0.356679505501346,0.273440755738683,0.257399471961321,0.563646046404667,-0.0035675704,0.257399471961321
0,kidney085_0057_scGNN_logcpm_PEalpha1.5_zdim3,0.052557720329453,0.082525551946456,1.99702399506179,12.561344679103,0.071966665229436,"[[ 2  1  3  4]
 [47 93 81 77]
 [51  3 11 19]
 [ 3  2  5  5]]","[[54562 14902]
 [69652 26126]]",0.416773279237367,"(0.13011153536825124, 0.07196666522943639, 0.09267395771181523)",0.130111535368251,0.09974724090583,0.092673957711815,0.488302005543385,-0.010884245,0.092673957711815
0,kidney085_0057_scGNN_logcpm_PEalpha2.0_zdim3,0.084921439688594,0.072565382595406,1.98154766263385,12.448451161412,0.065213653149,"[[  3   2   4   1]
 [ 64 127  82  25]
 [ 26   8  15  35]
 [  4   6   4   1]]","[[54600 14864]
 [66322 29456]]",0.452106773050163,"(0.11445281411593869, 0.0652136531490002, 0.08308602306603446)",0.114452814115939,0.087742815344245,0.083086023066035,0.508684232822164,-0.006408518,0.083086023066035
0,kidney085_0057_scGNN_logcpm_PEalpha2.5_zdim3,0.426245249265913,0.383815943065577,3.70874914269993,7.92762985341806,0.331701667561816,"[[  1   1   8   0]
 [ 31  21 219  27]
 [  1  79   0   4]
 [  6   7   0   2]]","[[60166  9298]
 [39680 56098]]",0.708824799183096,"(0.47858987232016736, 0.3317016675618163, 0.3918319540888149)",0.478589872320167,0.366900745228304,0.391831954088815,0.703598358770773,0.007519647,0.391831954088815
0,kidney085_0057_scGNN_logcpm_PEalpha3.0_zdim3,0.455623559931444,0.390459176887541,3.88948629858127,7.78841053873354,0.342701850641071,"[[  0   1   8   1]
 [ 22  16 227  33]
 [  1  79   0   4]
 [  1   6   3   5]]","[[59744  9720]
 [36432 59346]]",0.729669877774348,"(0.47605852819196964, 0.3427018506410708, 0.3985198669661584)",0.47605852819197,0.364960144098233,0.398519866966158,0.720700548286755,0.008204025,0.398519866966158
0,kidney085_0057_scGNN_logcpm_PEalpha3.5_zdim3,0.487299132677868,0.392937984543417,3.88734950795772,7.42404973706353,0.347377370538666,"[[  8   1   1   0]
 [234  15  29  20]
 [  0  77   2   5]
 [  3   5   4   3]]","[[60060  9404]
 [33880 61898]]",0.749019076480273,"(0.4744362631024495, 0.34737737053866635, 0.4010846615783725)",0.474436263102449,0.363716469075572,0.401084661578372,0.738056910470703,-0.00058864267,0.401084661578372
0,kidney085_0057_scGNN_logcpm_PEalpha4.0_zdim3,0.368499807021657,0.374706940750734,3.84716305273195,8.7750389484901,0.313545743640748,"[[  1   7   1   1]
 [ 35 199  17  47]
 [  0   0  79   5]
 [  3   0   5   7]]","[[61228  8236]
 [46460 49318]]",0.664254978436248,"(0.49014606314188003, 0.3135457436407481, 0.3824431468964123)",0.49014606314188,0.375760053102772,0.382443146896412,0.66899456554629,0.0058308556,0.382443146896412
0,kidney085_0057_scGNN_logcpm_PEalpha4.5_zdim3,0.177678171184088,0.304432389032256,3.45643569831545,11.1293321958992,0.242864649759557,"[[  1   4   3   2]
 [ 25  78  85 110]
 [ 79   0   5   0]
 [  7   0   8   0]]","[[59894  9570]
 [63742 32036]]",0.50748992011193,"(0.4367927647654496, 0.2428646497595575, 0.3121617437408728)",0.43679276476545,0.334857881814022,0.312161743740873,0.556335556335556,0.0018182494,0.312161743740873
0,kidney085_0057_scGNN_logcpm_PEalpha5.0_zdim3,0.129167730666365,0.268482572380107,3.27274731305526,10.4748805070041,0.226625845502731,"[[  6   2   2   0]
 [128  59  96  15]
 [  0  83   0   1]
 [  0  12   3   0]]","[[53108 16356]
 [59792 35986]]",0.50824783466467,"(0.3566321934652037, 0.22662584550273135, 0.27714002029207757)",0.356632193465204,0.273404484972579,0.277140020292078,0.539172849517677,0.0016410397,0.277140020292078
0,kidney085_0057_scGNN_logcpm_PEalpha1.0_zdim8,0.27040112824236,0.295060166070507,3.22120552136853,7.1007223600293,0.275001520523462,"[[  3   6   1   0]
 [ 70 203  12  13]
 [ 83   0   1   0]
 [ 12   0   0   3]]","[[50618 18846]
 [42674 53104]]",0.639703834425605,"(0.3410043096157235, 0.2750015205234623, 0.3044669354125714)",0.341004309615723,0.261423700249914,0.304466935412572,0.627697558732042,0.0026691968,0.304466935412571
